year,anzac,melbourne
1940,8.0,8.0
1941,-32.0,-4.0
1942,-20.0,-12.0
1943,-16.0,-40.0
1944,-14.0,-19.0
1945,8.0,-21.0
1946,-15.0,-9.0
1947,7.0,-9.0
1948,-12.0,9.0
1949,-25.0,-3.0
1950,-8.0,11.0
1951,-17.0,13.0
1952,2.0,14.0
1953,-20.0,8.0
1954,-9.0,-12.0
1955,-6.0,20.0
1956,-115.0,45.0
1957,-41.0,29.0
1958,-26.0,-3.0
1959,-9.0,-11.0
1960,-9.0,13.0
1961,6.0,-10.0
1962,-11.0,-1.0
1963,-20.0,13.0
1964,-15.0,45.0
1965,-41.0,11.0
1966,-15.0,-11.0
1967,-32.0,21.0
1968,-1.0,17.0
1969,-12.0,26.0
1970,-43.0,14.0
1971,-2.0,-4.0
1972,-31.0,6.0
1973,-41.0,-39.0
1974,-10.0,25.0
1975,-33.0,-18.0
1976,-5.0,17.0
1977,-15.0,14.0
1978,-1.0,7.0
1979,-14.0,-8.0
1980,-16.0,0.0
1981,-12.0,14.0
1982,5.0,-11.0
1983,-18.0,-23.0
1984,-53.0,45.0
1985,-5.0,-14.0
1986,-1.0,24.0
1987,-47.0,31.0
1988,0.0,-7.0
1989,18.0,-6.0
1990,2.0,6.0
1991,-8.0,6.0
1992,-16.0,2.0
1993,7.0,-3.0
1994,-17.0,-18.0
1995,-26.0,-29.0
1996,-16.0,19.0
1997,-32.0,14.0
1998,-11.0,1.0
1999,-6.0,17.0
2000,-7.0,-9.0
2001,-28.0,51.0
2002,10.0,-4.0
2003,12.0,-1.0
2004,1.0,-17.0
2005,3.0,-32.0
2006,-23.0,9.0
2007,29.0,-23.0
2008,-21.0,-11.0
2009,-9.0,-17.0
2010,-12.0,-14.0
2011,-10.0,-14.0
2012,-104.0,30.0
2013,-4.0,1.0
2014,-5.0,-17.0
2015,-28.0,24.0
2016,1.0,0.0
2017,-9.0,-17.0
2018,-29.0,-35.0
2019,-15.0,22.0
2020,-13.0,-32.0
2021,-13.0,-2.0
2022,6.0,44.0
