suburb,price,date,qbn
Dunlop,880000.0,2022-12-03,Canberra
Dunlop,677000.0,2022-12-07,Canberra
Dunlop,920000.0,2022-12-02,Canberra
Dunlop,665000.0,2022-12-19,Canberra
Dunlop,800000.0,2022-12-03,Canberra
Dunlop,990000.0,2023-01-28,Canberra
Dunlop,570000.0,2006-09-30,Canberra
Dunlop,836500.0,2022-11-18,Canberra
Dunlop,910000.0,2022-12-07,Canberra
Dunlop,1050000.0,2022-11-19,Canberra
Dunlop,550000.0,2022-12-23,Canberra
Dunlop,895000.0,2022-12-07,Canberra
Dunlop,700000.0,2020-04-20,Canberra
Dunlop,785000.0,2022-12-08,Canberra
Dunlop,740000.0,2022-12-05,Canberra
Dunlop,915000.0,2022-09-26,Canberra
Dunlop,803019.0,2022-11-30,Canberra
Dunlop,815000.0,2022-12-14,Canberra
Dunlop,632000.0,2022-11-12,Canberra
Dunlop,860000.0,2023-01-10,Canberra
Dunlop,890000.0,2022-11-05,Canberra
Dunlop,720000.0,2022-11-07,Canberra
Dunlop,865500.0,2022-11-17,Canberra
Dunlop,780000.0,2022-10-27,Canberra
Dunlop,965000.0,2022-11-03,Canberra
Dunlop,1015000.0,2022-10-08,Canberra
Dunlop,830000.0,2022-10-11,Canberra
Dunlop,800000.0,2022-11-02,Canberra
Dunlop,810000.0,2022-10-08,Canberra
Dunlop,655000.0,2020-10-01,Canberra
Dunlop,725000.0,2022-09-05,Canberra
Dunlop,676000.0,2022-09-23,Canberra
Dunlop,866000.0,2022-09-03,Canberra
Dunlop,329900.0,2010-11-10,Canberra
Dunlop,850000.0,2022-09-26,Canberra
Dunlop,811000.0,2022-09-17,Canberra
Dunlop,1025000.0,2022-09-17,Canberra
Dunlop,885000.0,2022-09-30,Canberra
Dunlop,915000.0,2022-09-29,Canberra
Dunlop,775000.0,2022-09-28,Canberra
Dunlop,664000.0,2022-09-15,Canberra
Dunlop,1150000.0,2022-11-08,Canberra
Dunlop,920000.0,2022-08-03,Canberra
Dunlop,841000.0,2022-09-03,Canberra
Dunlop,1080000.0,2022-10-29,Canberra
Dunlop,815000.0,2022-08-11,Canberra
Dunlop,1160000.0,2022-07-07,Canberra
Dunlop,350000.0,2022-05-27,Canberra
Dunlop,620000.0,2022-09-03,Canberra
Dunlop,510000.0,2022-08-27,Canberra
Dunlop,720000.0,2022-05-13,Canberra
Dunlop,721000.0,2022-07-21,Canberra
Dunlop,1210000.0,2022-07-15,Canberra
Dunlop,890000.0,2022-07-16,Canberra
Dunlop,710000.0,2022-06-09,Canberra
Dunlop,1173500.0,2022-06-16,Canberra
Dunlop,1340000.0,2022-06-11,Canberra
Dunlop,850000.0,2022-06-22,Canberra
Dunlop,725000.0,2022-06-18,Canberra
Dunlop,895000.0,2022-06-14,Canberra
Dunlop,841000.0,2022-06-23,Canberra
Dunlop,820000.0,2022-07-30,Canberra
Dunlop,802000.0,2022-06-04,Canberra
Dunlop,970000.0,2022-06-18,Canberra
Dunlop,335000.0,2009-06-01,Canberra
Dunlop,747000.0,2022-06-11,Canberra
Dunlop,1100000.0,2022-05-20,Canberra
Dunlop,830000.0,2022-05-23,Canberra
Dunlop,1200000.0,2022-07-07,Canberra
Dunlop,1020000.0,2022-05-20,Canberra
Dunlop,990000.0,2022-06-08,Canberra
Dunlop,1005000.0,2022-05-20,Canberra
Dunlop,900000.0,2022-05-14,Canberra
Dunlop,900000.0,2022-05-11,Canberra
Dunlop,847500.0,2022-06-01,Canberra
Dunlop,950000.0,2022-05-14,Canberra
Dunlop,820000.0,2022-06-21,Canberra
Dunlop,497702.0,2022-02-08,Canberra
Dunlop,910000.0,2022-04-28,Canberra
Dunlop,695000.0,2022-05-20,Canberra
Dunlop,800000.0,2022-05-31,Canberra
Dunlop,987000.0,2022-04-28,Canberra
Dunlop,573000.0,2019-04-18,Canberra
Dunlop,740000.0,2022-05-16,Canberra
Dunlop,539000.0,2019-07-01,Canberra
Dunlop,850000.0,2022-05-12,Canberra
Dunlop,700000.0,2021-06-01,Canberra
Dunlop,1025000.0,2022-05-12,Canberra
Dunlop,888000.0,2022-04-09,Canberra
Dunlop,662000.0,2022-05-13,Canberra
Dunlop,1050000.0,2022-03-21,Canberra
Dunlop,1280000.0,2022-02-24,Canberra
Dunlop,835000.0,2022-03-24,Canberra
Dunlop,750000.0,2022-04-13,Canberra
Dunlop,740000.0,2022-04-02,Canberra
Dunlop,375000.0,2022-02-09,Canberra
Dunlop,880000.0,2022-03-26,Canberra
Dunlop,855000.0,2022-03-26,Canberra
Dunlop,890000.0,2022-03-23,Canberra
Dunlop,1255000.0,2022-04-20,Canberra
Dunlop,906000.0,2022-03-22,Canberra
Dunlop,1190000.0,2022-04-02,Canberra
Dunlop,767000.0,2022-04-02,Canberra
Dunlop,500000.0,2015-07-17,Canberra
Dunlop,700000.0,2021-12-23,Canberra
Dunlop,782000.0,2022-03-08,Canberra
Dunlop,947000.0,2022-03-03,Canberra
Dunlop,480000.0,2022-03-28,Canberra
Dunlop,780000.0,2022-03-12,Canberra
Dunlop,870000.0,2022-03-05,Canberra
Dunlop,852000.0,2022-03-05,Canberra
Dunlop,830000.0,2022-03-04,Canberra
Dunlop,1220000.0,2022-04-05,Canberra
Dunlop,475000.0,2022-01-28,Canberra
Dunlop,925000.0,2022-02-19,Canberra
Dunlop,1260000.0,2022-03-26,Canberra
Dunlop,715000.0,2022-02-10,Canberra
Dunlop,950000.0,2022-02-09,Canberra
Dunlop,896000.0,2022-01-29,Canberra
Dunlop,850000.0,2022-02-18,Canberra
Dunlop,890000.0,2021-12-03,Canberra
Franklin,1080000.0,2023-03-17,Canberra
Franklin,685000.0,2023-03-16,Canberra
Franklin,475000.0,2023-03-14,Canberra
Franklin,996500.0,2023-03-11,Canberra
Franklin,900000.0,2023-01-30,Canberra
Franklin,1420500.0,2023-03-04,Canberra
Franklin,537000.0,2023-03-03,Canberra
Franklin,397000.0,2023-03-01,Canberra
Franklin,395000.0,2023-01-16,Canberra
Franklin,75000.0,2022-12-23,Canberra
Franklin,800000.0,2022-12-17,Canberra
Franklin,380000.0,2023-02-24,Canberra
Franklin,620000.0,2023-02-23,Canberra
Franklin,490000.0,2020-04-07,Canberra
Franklin,565000.0,2023-02-21,Canberra
Franklin,1120000.0,2022-12-14,Canberra
Franklin,1193000.0,2023-02-09,Canberra
Franklin,715000.0,2022-12-21,Canberra
Franklin,768000.0,2022-11-29,Canberra
Franklin,372000.0,2022-12-19,Canberra
Franklin,385200.0,2022-12-16,Canberra
Franklin,710000.0,2023-02-02,Canberra
Franklin,980000.0,2022-12-13,Canberra
Franklin,747500.0,2022-12-12,Canberra
Franklin,705000.0,2022-11-23,Canberra
Franklin,470000.0,2022-09-30,Canberra
Franklin,510000.0,2022-12-15,Canberra
Franklin,505000.0,2022-12-08,Canberra
Franklin,915000.0,2022-12-05,Canberra
Franklin,750000.0,2022-11-22,Canberra
Franklin,395000.0,2023-01-16,Canberra
Franklin,560000.0,2023-01-16,Canberra
Franklin,1050000.0,2022-12-01,Canberra
Franklin,1130000.0,2022-11-08,Canberra
Franklin,1780000.0,2022-11-02,Canberra
Franklin,1235000.0,2022-10-29,Canberra
Franklin,670000.0,2022-11-03,Canberra
Franklin,790000.0,2022-11-08,Canberra
Franklin,980000.0,2022-10-20,Canberra
Franklin,675000.0,2022-12-13,Canberra
Franklin,999000.0,2022-10-20,Canberra
Franklin,547000.0,2022-10-10,Canberra
Franklin,345000.0,2022-09-15,Canberra
Franklin,1120000.0,2022-10-07,Canberra
Franklin,694076.0,2022-10-31,Canberra
Franklin,505852.0,2022-10-31,Canberra
Franklin,1655000.0,2022-09-13,Canberra
Franklin,790000.0,2022-10-12,Canberra
Franklin,555888.0,2022-10-12,Canberra
Franklin,391000.0,2022-10-06,Canberra
Franklin,407500.0,2022-11-18,Canberra
Franklin,365000.0,2022-09-08,Canberra
Franklin,455000.0,2022-10-10,Canberra
Franklin,380000.0,2022-11-04,Canberra
Franklin,472000.0,2022-11-04,Canberra
Franklin,502500.0,2022-09-27,Canberra
Franklin,1000000.0,2022-09-10,Canberra
Franklin,551000.0,2022-09-21,Canberra
Franklin,1210000.0,2022-10-01,Canberra
Franklin,940000.0,2022-09-20,Canberra
Franklin,725000.0,2022-08-12,Canberra
Franklin,535000.0,2022-09-09,Canberra
Franklin,542000.0,2022-09-10,Canberra
Franklin,1180000.0,2022-08-18,Canberra
Franklin,1110000.0,2022-07-26,Canberra
Franklin,407500.0,2022-05-18,Canberra
Franklin,680000.0,2022-08-30,Canberra
Franklin,685000.0,2022-09-14,Canberra
Franklin,1100000.0,2022-08-28,Canberra
Franklin,780000.0,2022-10-10,Canberra
Franklin,1011000.0,2022-09-02,Canberra
Franklin,750000.0,2022-07-21,Canberra
Franklin,510000.0,2022-08-15,Canberra
Franklin,400000.0,2022-09-30,Canberra
Franklin,345000.0,2022-08-31,Canberra
Franklin,949000.0,2022-09-23,Canberra
Franklin,550000.0,2022-07-22,Canberra
Franklin,1030000.0,2022-07-28,Canberra
Franklin,525000.0,2022-07-20,Canberra
Franklin,1200000.0,2022-07-06,Canberra
Franklin,400000.0,2022-09-15,Canberra
Franklin,765000.0,2022-08-09,Canberra
Franklin,395000.0,2022-07-15,Canberra
Franklin,465000.0,2022-09-13,Canberra
Franklin,931000.0,2022-07-23,Canberra
Franklin,59000.0,2022-08-05,Canberra
Franklin,651000.0,2022-07-16,Canberra
Franklin,380000.0,2022-09-05,Canberra
Franklin,725000.0,2022-07-19,Canberra
Franklin,770000.0,2022-07-06,Canberra
Franklin,616000.0,2022-09-02,Canberra
Franklin,525500.0,2022-08-31,Canberra
Franklin,525000.0,2022-06-21,Canberra
Franklin,390000.0,2022-07-05,Canberra
Franklin,805000.0,2022-06-12,Canberra
Franklin,1500000.0,2022-04-19,Canberra
Franklin,1266000.0,2022-04-30,Canberra
Franklin,962000.0,2022-07-01,Canberra
Franklin,555000.0,2022-07-27,Canberra
Franklin,380000.0,2022-06-17,Canberra
Franklin,395000.0,2022-06-15,Canberra
Franklin,340000.0,2022-05-27,Canberra
Franklin,599999.0,2022-01-31,Canberra
Franklin,410000.0,2022-05-20,Canberra
Franklin,720000.0,2022-07-15,Canberra
Franklin,1220000.0,2022-05-18,Canberra
Franklin,1180000.0,2022-04-29,Canberra
Franklin,965000.0,2022-06-03,Canberra
Franklin,599999.0,2022-07-04,Canberra
Franklin,295000.0,2009-06-26,Canberra
Franklin,372000.0,2022-04-27,Canberra
Franklin,515000.0,2022-05-15,Canberra
Franklin,727500.0,2022-03-15,Canberra
Franklin,745000.0,2022-04-29,Canberra
Franklin,1200000.0,2021-03-26,Canberra
Franklin,385000.0,2022-05-03,Canberra
Franklin,606600.0,2022-06-21,Canberra
Franklin,1050000.0,2022-05-13,Canberra
Franklin,560000.0,2022-06-16,Canberra
Franklin,610000.0,2022-06-14,Canberra
Franklin,516000.0,2022-03-30,Canberra
Franklin,397000.0,2022-06-10,Canberra
Franklin,840000.0,2022-04-08,Canberra
Franklin,395000.0,2022-02-26,Canberra
Franklin,313850.0,2019-07-08,Canberra
Franklin,681000.0,2022-03-31,Canberra
Franklin,1000000.0,2022-04-05,Canberra
Franklin,520000.0,2022-02-17,Canberra
Franklin,355000.0,2022-05-27,Canberra
Franklin,1400000.0,2022-04-05,Canberra
Franklin,1409650.0,2022-03-24,Canberra
Franklin,735000.0,2022-05-25,Canberra
Franklin,362500.0,2022-04-22,Canberra
Franklin,421800.0,2022-04-12,Canberra
Franklin,950000.0,2022-04-11,Canberra
Franklin,327000.0,2014-11-26,Canberra
Franklin,1165000.0,2022-03-10,Canberra
Franklin,354000.0,2022-03-21,Canberra
Franklin,1350000.0,2022-04-09,Canberra
Franklin,542000.0,2022-03-24,Canberra
Franklin,405000.0,2022-04-11,Canberra
Franklin,655500.0,2022-03-19,Canberra
Franklin,536000.0,2022-04-02,Canberra
Franklin,1800000.0,2022-03-25,Canberra
Franklin,550000.0,2022-03-11,Canberra
Franklin,1210000.0,2022-03-10,Canberra
Franklin,1635000.0,2022-02-19,Canberra
Franklin,1065000.0,2020-12-22,Canberra
Franklin,345988.0,2022-01-24,Canberra
Franklin,351000.0,2022-03-29,Canberra
Franklin,1060000.0,2021-09-13,Canberra
Franklin,400000.0,2022-03-16,Canberra
Franklin,362000.0,2022-02-25,Canberra
Franklin,495000.0,2022-03-21,Canberra
Franklin,850000.0,2022-04-13,Canberra
Franklin,338000.0,2022-03-03,Canberra
Franklin,1155000.0,2022-02-18,Canberra
Franklin,720000.0,2022-03-03,Canberra
Franklin,557000.0,2022-02-23,Canberra
Franklin,440000.0,2022-03-03,Canberra
Franklin,707500.0,2022-02-24,Canberra
Franklin,417000.0,2020-03-23,Canberra
Franklin,988000.0,2022-02-19,Canberra
Franklin,681000.0,2022-04-02,Canberra
Franklin,385000.0,2022-04-02,Canberra
Franklin,1370000.0,2022-02-19,Canberra
Franklin,1100000.0,2021-12-12,Canberra
Franklin,850000.0,2021-11-09,Canberra
Franklin,540000.0,2022-03-30,Canberra
Franklin,1095200.0,2022-02-11,Canberra
Franklin,432000.0,2022-02-04,Canberra
Franklin,968000.0,2022-02-14,Canberra
Franklin,825000.0,2022-02-05,Canberra
Franklin,811000.0,2022-03-27,Canberra
Franklin,830000.0,2022-03-26,Canberra
Franklin,680000.0,2022-03-25,Canberra
Franklin,432000.0,2022-02-11,Canberra
Franklin,520000.0,2022-02-05,Canberra
Franklin,446000.0,2022-03-23,Canberra
Franklin,465100.0,2022-02-08,Canberra
Gordon,600000.0,2023-03-16,Canberra
Gordon,690000.0,2023-03-10,Canberra
Gordon,1125000.0,2022-12-17,Canberra
Gordon,720000.0,2023-02-08,Canberra
Gordon,985000.0,2023-03-01,Canberra
Gordon,1000000.0,2022-11-04,Canberra
Gordon,1085000.0,2022-12-14,Canberra
Gordon,730000.0,2023-01-23,Canberra
Gordon,820000.0,2022-12-20,Canberra
Gordon,730000.0,2022-12-22,Canberra
Gordon,950000.0,2022-12-15,Canberra
Gordon,980000.0,2023-02-06,Canberra
Gordon,670000.0,2023-02-03,Canberra
Gordon,935000.0,2022-11-05,Canberra
Gordon,775000.0,2022-12-12,Canberra
Gordon,1027500.0,2023-01-03,Canberra
Gordon,1300000.0,2023-01-27,Canberra
Gordon,1100000.0,2023-01-27,Canberra
Gordon,835000.0,2022-12-07,Canberra
Gordon,870000.0,2022-12-03,Canberra
Gordon,1050000.0,2022-07-25,Canberra
Gordon,900000.0,2022-11-30,Canberra
Gordon,720000.0,2022-11-21,Canberra
Gordon,870000.0,2022-11-23,Canberra
Gordon,1100000.0,2022-11-08,Canberra
Gordon,1170000.0,2022-12-16,Canberra
Gordon,619000.0,2022-12-12,Canberra
Gordon,650000.0,2022-09-08,Canberra
Gordon,800000.0,2022-11-09,Canberra
Gordon,875000.0,2022-10-28,Canberra
Gordon,580000.0,2019-07-15,Canberra
Gordon,410000.0,2014-03-05,Canberra
Gordon,747500.0,2022-09-17,Canberra
Gordon,920000.0,2022-10-11,Canberra
Gordon,870000.0,2022-11-04,Canberra
Gordon,650000.0,2022-09-30,Canberra
Gordon,617000.0,2022-11-18,Canberra
Gordon,575000.0,2022-10-05,Canberra
Gordon,755000.0,2022-09-17,Canberra
Gordon,880000.0,2022-09-30,Canberra
Gordon,975000.0,2022-09-10,Canberra
Gordon,680000.0,2022-09-07,Canberra
Gordon,810000.0,2022-09-16,Canberra
Gordon,715000.0,2022-03-02,Canberra
Gordon,600000.0,2022-10-27,Canberra
Gordon,802500.0,2022-09-27,Canberra
Gordon,715000.0,2022-09-13,Canberra
Gordon,900000.0,2022-09-26,Canberra
Gordon,700000.0,2022-09-15,Canberra
Gordon,765000.0,2022-09-02,Canberra
Gordon,762000.0,2022-08-30,Canberra
Gordon,1180000.0,2022-07-10,Canberra
Gordon,615000.0,2022-09-16,Canberra
Gordon,875000.0,2022-08-19,Canberra
Gordon,910000.0,2022-08-24,Canberra
Gordon,520000.0,2022-08-22,Canberra
Gordon,970000.0,2022-08-02,Canberra
Gordon,700000.0,2022-08-04,Canberra
Gordon,1211800.0,2022-08-16,Canberra
Gordon,1135000.0,2022-07-18,Canberra
Gordon,596950.0,2022-09-30,Canberra
Gordon,900000.0,2022-08-26,Canberra
Gordon,690000.0,2022-09-26,Canberra
Gordon,850000.0,2022-07-19,Canberra
Gordon,705000.0,2022-07-29,Canberra
Gordon,912000.0,2022-07-02,Canberra
Gordon,715000.0,2022-07-16,Canberra
Gordon,630000.0,2022-06-14,Canberra
Gordon,820000.0,2022-06-23,Canberra
Gordon,608000.0,2022-09-09,Canberra
Gordon,635000.0,2022-09-07,Canberra
Gordon,650000.0,2022-06-30,Canberra
Gordon,801000.0,2022-07-15,Canberra
Gordon,600000.0,2022-07-19,Canberra
Gordon,1130000.0,2022-06-21,Canberra
Gordon,850000.0,2022-06-08,Canberra
Gordon,820000.0,2022-06-25,Canberra
Gordon,990000.0,2022-07-08,Canberra
Gordon,781000.0,2022-07-02,Canberra
Gordon,925000.0,2022-02-22,Canberra
Gordon,750000.0,2022-06-30,Canberra
Gordon,679500.0,2022-06-08,Canberra
Gordon,965000.0,2022-05-21,Canberra
Gordon,720000.0,2022-06-06,Canberra
Gordon,1265000.0,2022-05-20,Canberra
Gordon,1150000.0,2022-04-28,Canberra
Gordon,680000.0,2022-07-21,Canberra
Gordon,1100000.0,2022-05-27,Canberra
Gordon,700000.0,2022-05-03,Canberra
Gordon,1080000.0,2022-05-07,Canberra
Gordon,821000.0,2022-05-27,Canberra
Gordon,645000.0,2022-05-25,Canberra
Gordon,680000.0,2022-07-07,Canberra
Gordon,1110000.0,2022-05-23,Canberra
