suburb,price,date,qbn
Calwell,780000.0,2023-03-10,Canberra
Calwell,1025000.0,2023-02-10,Canberra
Calwell,850000.0,2023-02-03,Canberra
Calwell,870000.0,2023-02-03,Canberra
Calwell,690000.0,2023-01-09,Canberra
Calwell,623000.0,2023-02-24,Canberra
Calwell,730000.0,2023-02-21,Canberra
Calwell,950000.0,2023-01-19,Canberra
Calwell,1028000.0,2022-12-19,Canberra
Calwell,760000.0,2022-12-22,Canberra
Calwell,655000.0,2022-12-06,Canberra
Calwell,720000.0,2023-02-10,Canberra
Calwell,745000.0,2023-01-11,Canberra
Calwell,790000.0,2023-01-12,Canberra
Calwell,875000.0,2023-01-22,Canberra
Calwell,750000.0,2022-12-17,Canberra
Calwell,1385500.0,2022-11-24,Canberra
Calwell,1300000.0,2022-12-12,Canberra
Calwell,940000.0,2022-11-29,Canberra
Calwell,710000.0,2022-12-14,Canberra
Calwell,930000.0,2022-10-29,Canberra
Calwell,790000.0,2022-11-23,Canberra
Calwell,910000.0,2022-11-30,Canberra
Calwell,1260000.0,2022-09-24,Canberra
Calwell,350000.0,2022-11-02,Canberra
Calwell,720000.0,2022-10-28,Canberra
Calwell,772500.0,2022-10-27,Canberra
Calwell,730000.0,2022-10-12,Canberra
Calwell,900000.0,2022-09-27,Canberra
Calwell,590000.0,2022-10-28,Canberra
Calwell,624000.0,2022-10-23,Canberra
Calwell,725000.0,2022-09-20,Canberra
Calwell,1040000.0,2022-09-23,Canberra
Calwell,740000.0,2022-11-22,Canberra
Calwell,870000.0,2022-08-16,Canberra
Calwell,950000.0,2022-09-28,Canberra
Calwell,705000.0,2022-09-28,Canberra
Calwell,910000.0,2022-09-21,Canberra
Calwell,820000.0,2022-10-07,Canberra
Calwell,670000.0,2022-09-15,Canberra
Calwell,900000.0,2022-10-28,Canberra
Calwell,425000.0,2007-04-03,Canberra
Calwell,799000.0,2022-09-09,Canberra
Calwell,870000.0,2022-09-06,Canberra
Calwell,1150000.0,2022-08-05,Canberra
Calwell,845000.0,2022-10-17,Canberra
Calwell,560000.0,2022-10-14,Canberra
Calwell,990000.0,2022-07-23,Canberra
Calwell,710000.0,2022-08-19,Canberra
Calwell,742000.0,2022-08-08,Canberra
Calwell,540000.0,2012-06-13,Canberra
Calwell,525000.0,2022-08-25,Canberra
Calwell,725000.0,2022-08-01,Canberra
Calwell,372500.0,2011-03-11,Canberra
Calwell,875000.0,2022-07-13,Canberra
Calwell,943000.0,2022-07-26,Canberra
Calwell,975000.0,2022-07-26,Canberra
Calwell,855000.0,2022-07-14,Canberra
Calwell,940000.0,2022-07-25,Canberra
Calwell,700000.0,2017-11-24,Canberra
Calwell,667500.0,2022-05-27,Canberra
Calwell,955000.0,2022-07-11,Canberra
Calwell,975000.0,2022-04-05,Canberra
Calwell,500000.0,2022-08-12,Canberra
Calwell,772500.0,2022-06-28,Canberra
Calwell,770000.0,2022-06-29,Canberra
Calwell,1100000.0,2022-06-04,Canberra
Calwell,950000.0,2022-06-01,Canberra
Calwell,790000.0,2022-05-05,Canberra
Calwell,850000.0,2022-06-24,Canberra
Calwell,555000.0,2022-05-30,Canberra
Calwell,700000.0,2022-05-06,Canberra
Calwell,900000.0,2022-05-04,Canberra
Calwell,1125000.0,2022-05-12,Canberra
Calwell,865000.0,2022-05-13,Canberra
Calwell,820000.0,2022-05-12,Canberra
Calwell,980000.0,2022-04-19,Canberra
Calwell,730000.0,2021-11-17,Canberra
Calwell,550000.0,2022-05-11,Canberra
Calwell,1335000.0,2022-05-02,Canberra
Calwell,340000.0,2016-04-26,Canberra
Calwell,820000.0,2022-04-30,Canberra
Calwell,1030000.0,2022-05-07,Canberra
Calwell,970000.0,2022-05-03,Canberra
Calwell,1270000.0,2022-04-22,Canberra
Calwell,950000.0,2022-05-05,Canberra
Calwell,902000.0,2022-04-14,Canberra
Calwell,800000.0,2022-04-22,Canberra
Calwell,950000.0,2022-04-04,Canberra
Calwell,855000.0,2022-04-12,Canberra
Calwell,370000.0,2008-03-25,Canberra
Calwell,800000.0,2022-03-10,Canberra
Calwell,585000.0,2022-03-29,Canberra
Calwell,1150000.0,2022-03-01,Canberra
Calwell,1000000.0,2022-04-11,Canberra
Calwell,660000.0,2022-03-10,Canberra
Calwell,980000.0,2022-03-18,Canberra
Calwell,921000.0,2022-03-10,Canberra
Calwell,780000.0,2022-03-05,Canberra
Calwell,950000.0,2022-03-16,Canberra
Calwell,630000.0,2022-04-26,Canberra
Calwell,973000.0,2022-02-05,Canberra
Calwell,650000.0,2022-02-18,Canberra
Calwell,705000.0,2022-02-21,Canberra
Calwell,830000.0,2022-02-25,Canberra
Calwell,1070000.0,2022-02-10,Canberra
Calwell,705000.0,2021-11-24,Canberra
Chisholm,395000.0,2009-03-16,Canberra
Chisholm,845000.0,2023-01-17,Canberra
Chisholm,150000.0,2023-01-27,Canberra
Chisholm,825000.0,2023-03-04,Canberra
Chisholm,1200000.0,2022-12-08,Canberra
Chisholm,770000.0,2022-12-16,Canberra
Chisholm,630000.0,2023-02-20,Canberra
Chisholm,1150000.0,2023-01-11,Canberra
Chisholm,685000.0,2023-02-17,Canberra
Chisholm,900000.0,2023-02-15,Canberra
Chisholm,900000.0,2022-11-13,Canberra
Chisholm,820000.0,2022-12-05,Canberra
Chisholm,1115000.0,2022-12-13,Canberra
Chisholm,775000.0,2022-12-12,Canberra
Chisholm,660000.0,2016-04-15,Canberra
Chisholm,440000.0,2022-11-01,Canberra
Chisholm,650000.0,2022-12-05,Canberra
Chisholm,970000.0,2023-01-19,Canberra
Chisholm,850000.0,2022-11-17,Canberra
Chisholm,995000.0,2022-10-29,Canberra
Chisholm,1200000.0,2022-11-28,Canberra
Chisholm,690000.0,2022-11-08,Canberra
Chisholm,875000.0,2022-11-21,Canberra
Chisholm,1220000.0,2022-12-01,Canberra
Chisholm,890000.0,2022-10-05,Canberra
Chisholm,750000.0,2022-11-01,Canberra
Chisholm,972000.0,2022-10-27,Canberra
Chisholm,941000.0,2022-11-04,Canberra
Chisholm,825000.0,2022-11-29,Canberra
Chisholm,815000.0,2022-09-23,Canberra
Chisholm,945000.0,2022-10-29,Canberra
Chisholm,790000.0,2022-10-27,Canberra
Chisholm,1065000.0,2022-10-24,Canberra
Chisholm,830000.0,2022-10-26,Canberra
Chisholm,825000.0,2022-09-13,Canberra
Chisholm,665000.0,2022-11-01,Canberra
Chisholm,1015000.0,2022-10-13,Canberra
Chisholm,850000.0,2022-10-17,Canberra
Chisholm,650000.0,2022-10-07,Canberra
Chisholm,630000.0,2022-10-05,Canberra
Chisholm,1420000.0,2022-11-18,Canberra
Chisholm,735000.0,2022-09-28,Canberra
Chisholm,810000.0,2022-10-11,Canberra
Chisholm,850000.0,2022-10-20,Canberra
Chisholm,725000.0,2022-08-26,Canberra
Chisholm,870000.0,2022-08-22,Canberra
Chisholm,1150000.0,2022-09-14,Canberra
Chisholm,815000.0,2022-08-12,Canberra
Chisholm,580000.0,2022-09-07,Canberra
Chisholm,670000.0,2022-09-05,Canberra
Chisholm,678000.0,2022-07-23,Canberra
Chisholm,765000.0,2022-08-26,Canberra
Chisholm,1240000.0,2022-07-27,Canberra
Chisholm,776000.0,2022-08-04,Canberra
Chisholm,725000.0,2022-08-11,Canberra
Chisholm,845000.0,2022-07-23,Canberra
Chisholm,730000.0,2022-08-02,Canberra
Chisholm,1190000.0,2022-06-23,Canberra
Chisholm,665000.0,2022-08-09,Canberra
Chisholm,820000.0,2022-07-29,Canberra
Chisholm,165000.0,2022-08-09,Canberra
Chisholm,650000.0,2022-05-17,Canberra
Chisholm,785000.0,2022-07-15,Canberra
Chisholm,975000.0,2022-06-07,Canberra
Chisholm,660000.0,2022-07-14,Canberra
Chisholm,720000.0,2022-06-06,Canberra
Chisholm,1250000.0,2022-06-02,Canberra
Chisholm,775000.0,2022-08-02,Canberra
Chisholm,415000.0,2022-02-08,Canberra
Chisholm,900000.0,2022-06-06,Canberra
Chisholm,400000.0,2022-07-06,Canberra
Chisholm,1555000.0,2022-06-03,Canberra
Chisholm,1065000.0,2022-05-17,Canberra
Chisholm,1180000.0,2022-04-07,Canberra
Chisholm,880000.0,2022-05-28,Canberra
Chisholm,830000.0,2022-05-26,Canberra
Chisholm,790000.0,2022-05-13,Canberra
Chisholm,386000.0,2022-03-23,Canberra
Chisholm,947000.0,2022-04-23,Canberra
Chisholm,888000.0,2022-03-26,Canberra
Chisholm,600000.0,2018-11-26,Canberra
Chisholm,930000.0,2022-03-28,Canberra
Chisholm,830000.0,2022-04-23,Canberra
Chisholm,890000.0,2022-02-23,Canberra
Chisholm,1150000.0,2022-02-26,Canberra
Chisholm,700000.0,2022-05-03,Canberra
Chisholm,955000.0,2022-04-12,Canberra
Chisholm,1108000.0,2022-03-26,Canberra
Chisholm,1190000.0,2022-03-08,Canberra
Chisholm,870000.0,2022-03-27,Canberra
Chisholm,1200000.0,2022-04-12,Canberra
Chisholm,842000.0,2022-03-15,Canberra
Chisholm,680000.0,2022-03-01,Canberra
Chisholm,650000.0,2021-11-05,Canberra
Chisholm,790000.0,2022-02-19,Canberra
Chisholm,760000.0,2022-03-03,Canberra
Chisholm,907500.0,2022-02-26,Canberra
Chisholm,990000.0,2022-02-26,Canberra
Chisholm,1135000.0,2022-02-06,Canberra
Chisholm,730000.0,2022-02-25,Canberra
Chisholm,840000.0,2022-03-01,Canberra
Chisholm,1290000.0,2022-02-03,Canberra
Chisholm,751000.0,2022-01-19,Canberra
Chisholm,808000.0,2022-01-29,Canberra
Chisholm,395000.0,2022-02-23,Canberra
Chisholm,845000.0,2022-01-24,Canberra
Dunlop,780000.0,2023-02-08,Canberra
Dunlop,875000.0,2023-03-07,Canberra
Dunlop,1050000.0,2023-03-06,Canberra
Dunlop,682000.0,2023-01-25,Canberra
Dunlop,840000.0,2023-01-27,Canberra
Dunlop,621000.0,2022-12-21,Canberra
Dunlop,1000000.0,2022-12-20,Canberra
Dunlop,652000.0,2023-01-19,Canberra
Dunlop,702500.0,2023-02-22,Canberra
Dunlop,820000.0,2023-02-11,Canberra
Dunlop,885000.0,2022-12-03,Canberra
