school,type,district,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027
Melba Copland Secondary*,college,Belconnen,292,325,307,277,206,164,174,158,184,186,166,229,202,179,210,230,254,285,275
Melba Copland Secondary*,high,Belconnen,682,646,587,480,423,370,386,406,421,465,500,534,619,719,752,767,772,747,775
Melrose High,high,Woden Valley,815,827,783,754,723,685,701,741,712,810,801,814,839,817,844,845,864,873,870
Miles Franklin Primary,primary,Belconnen,366,351,351,384,398,404,422,447,482,503,500,513,498,485,479,466,449,437,422
Monash Primary,primary,Tuggeranong,411,385,389,369,366,394,414,391,393,384,405,432,426,443,444,443,447,439,430
Mount Rogers Primary,primary,Belconnen,191,200,239,280,314,357,382,389,428,445,480,501,513,514,517,503,494,468,450
Mount Stromlo High,high,Weston Creek,,,,,,600,569,590,642,661,720,766,809,876,860,866,860,836,847
Namadgi School*,high,Tuggeranong,,,55,119,174,210,213,213,212,246,258,262,276,257,257,261,263,272,274
Namadgi School*,primary,Tuggeranong,,,320,379,385,385,395,393,390,383,375,368,374,388,383,389,384,374,364
Narrabundah College,college,South Canberra,904,925,950,946,945,935,944,982,982,939,931,956,967,964,975,1002,1028,1036,1042
Narrabundah Early Childhood,primary,South Canberra,14,38,56,61,65,54,58,59,68,68,77,57,63,60,65,69,71,71,72
Neville Bonner Primary,primary,Gungahlin,,,,,127,248,352,444,553,651,719,740,744,697,659,635,609,583,564
Ngunnawal Primary,primary,Gungahlin,430,425,453,475,479,545,551,600,593,562,588,600,626,646,636,632,631,626,614
North Ainslie Primary,primary,North Canberra,319,341,345,361,400,481,468,530,557,589,609,637,615,594,580,572,560,563,556
O'Connor Cooperative,primary,North Canberra,56,58,59,56,56,55,52,56,51,60,55,45,48,53,57,56,54,54,56
Palmerston District Primary,primary,Gungahlin,358,370,343,372,370,375,417,456,507,567,600,681,736,705,709,716,712,703,692
Red Hill Primary,primary,South Canberra,538,582,606,572,550,577,576,623,614,641,702,717,744,753,761,783,805,827,836
Richardson Primary,primary,Tuggeranong,200,189,184,168,174,158,146,151,136,132,132,126,136,153,160,161,153,150,149
Southern Cross Early Childhood,primary,Belconnen,31,49,70,103,113,125,123,123,116,134,133,125,131,147,146,145,145,149,151
Taylor Primary,primary,Tuggeranong,214,206,179,171,160,189,191,219,261,292,303,312,326,318,299,285,278,261,252
Telopea Park School,high,South Canberra,697,698,704,741,743,781,791,837,856,852,879,932,970,993,1022,1038,1025,1023,1021
The Canberra College,college,Woden Valley,902,930,968,969,970,1047,1062,1040,1146,1164,1130,1143,1195,1168,1113,1148,1155,1189,1244
Theodore Primary,primary,Tuggeranong,310,277,262,263,257,251,247,280,319,346,338,281,261,258,248,238,230,219,215
Throsby School,primary,Gungahlin,,,,,,,,,,,,,,120,231,316,400,461,513
Torrens Primary,primary,Woden Valley,414,395,388,401,400,402,410,434,437,445,463,452,467,425,428,438,451,456,462
Turner School,primary,North Canberra,456,467,458,467,486,478,504,521,503,485,492,495,463,446,458,457,452,462,474
UC High Kaleen,high,Belconnen,212,210,208,196,199,216,230,267,272,340,376,431,491,513,520,538,531,526,527
UC SSC Lake Ginninderra,college,Belconnen,681,786,569,423,481,583,613,657,668,565,629,701,664,664,726,742,749,775,783
Wanniassa Hills Primary,primary,Tuggeranong,349,368,358,333,357,364,352,342,372,378,370,397,369,364,349,345,324,321,315
Wanniassa School*,primary,Tuggeranong,205,212,213,211,203,210,215,209,233,226,230,230,215,206,213,209,211,211,211
Wanniassa School*,high,Tuggeranong,318,321,271,228,215,205,206,189,175,192,214,213,265,286,273,281,269,261,262
Weetangera Primary,primary,Belconnen,328,355,347,357,398,377,392,388,401,427,426,465,479,475,484,489,495,504,507
Yarralumla Primary,primary,South Canberra,202,199,186,198,245,276,300,304,336,382,382,391,392,363,375,360,354,351,345
new high in Kenny,high,Gungahlin,,,,,,,,,,,,,,,,143,259,355,444
new high in Taylor,high,Gungahlin,,,,,,,,,,,,,,,,97,188,281,366
new primary in Strathnairn,primary,Belconnen,,,,,,,,,,,,,,,,,43,97,160
