school,type,district,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027
Ainslie School,primary,North Canberra,372,390,397,389,370,353,366,355,334,360,357,352,356,377,397,415,423,432,452
Alfred Deakin High,high,South Canberra,784,760,740,755,775,783,787,815,887,877,862,877,845,864,867,877,905,884,887
Amaroo School*,primary,Gungahlin,768,760,771,895,941,978,966,934,984,1106,1059,1024,968,925,908,880,844,812,815
Amaroo School*,high,Gungahlin,451,470,481,493,535,551,609,630,691,726,800,811,864,909,953,937,896,859,795
Aranda Primary,primary,Belconnen,380,404,416,451,453,463,486,522,555,558,543,567,551,547,535,527,521,518,504
Arawang Primary,primary,Weston Creek,370,357,335,298,345,368,393,438,432,453,468,490,487,494,491,484,472,467,450
Belconnen High,high,Belconnen,602,528,461,402,384,373,353,382,408,435,462,521,551,586,592,597,592,584,590
Bonython Primary,primary,Tuggeranong,371,371,340,315,289,267,260,275,279,315,349,363,390,373,371,396,389,391,393
Calwell High,high,Tuggeranong,466,478,444,413,397,359,344,323,352,366,387,400,419,417,420,420,423,428,425
Calwell Primary,primary,Tuggeranong,382,329,284,278,256,264,255,237,220,245,250,252,267,269,278,284,279,277,268
Campbell High,high,North Canberra,613,646,668,692,718,741,723,721,728,719,743,704,677,643,632,634,672,708,709
Campbell Primary,primary,North Canberra,269,248,249,268,252,246,272,282,320,335,366,327,325,296,296,290,299,301,311
Canberra High,high,Belconnen,588,572,574,643,753,780,813,813,837,838,871,869,855,895,901,903,907,909,911
Caroline Chisholm School*,high,Tuggeranong,428,331,293,283,276,278,318,331,324,348,378,389,396,419,410,419,421,412,412
Caroline Chisholm School*,primary,Tuggeranong,210,192,188,193,222,245,256,280,310,315,295,285,269,253,239,228,223,216,208
Chapman Primary,primary,Weston Creek,436,462,466,489,501,506,511,547,558,567,560,540,538,557,549,554,550,547,536
Charles Conder Primary,primary,Tuggeranong,391,365,308,305,265,247,270,265,286,328,357,412,440,442,448,457,449,449,433
Charles Weston School,primary,Molonglo,,,,,,,,110,197,288,394,485,471,508,533,558,580,596,615
Charnwood-Dunlop School,primary,Belconnen,242,246,251,285,314,295,282,246,278,303,318,339,353,395,402,399,394,393,382
Curtin Primary,primary,Woden Valley,395,378,351,404,424,425,448,465,500,512,492,470,479,445,445,434,429,430,434
Dickson College,college,North Canberra,754,710,720,751,798,819,867,820,838,841,746,723,742,769,807,788,782,782,830
Duffy Primary,primary,Weston Creek,185,205,233,294,304,336,316,318,345,384,391,390,382,386,394,390,383,379,373
Erindale College,college,Tuggeranong,769,716,624,588,530,525,533,520,490,438,471,604,579,554,650,655,654,663,667
Evatt Primary,primary,Belconnen,296,301,287,294,282,256,262,285,269,274,269,289,297,282,294,292,287,288,282
Evelyn Scott School*,primary,Molonglo,,,,,,,,,,,,,124,239,311,383,452,526,600
Evelyn Scott School*,high,Molonglo,,,,,,,,,,,,,,,62,130,209,300,359
Fadden Primary,primary,Tuggeranong,286,266,275,289,300,304,328,325,307,307,286,294,269,249,254,251,252,244,235
Farrer Primary,primary,Woden Valley,286,284,287,278,297,290,305,305,320,331,345,349,334,303,306,301,299,303,299
Florey Primary,primary,Belconnen,333,326,340,359,372,406,431,442,431,427,425,409,422,418,423,425,428,427,430
Forrest Primary,primary,South Canberra,419,418,452,453,438,456,472,482,476,507,537,563,530,542,562,568,576,584,593
Franklin School,primary,Gungahlin,,,,,20,81,113,147,184,181,252,310,363,421,410,394,375,361,339
Fraser Primary,primary,Belconnen,383,378,357,353,371,371,378,401,443,467,492,520,530,542,534,530,513,502,496
Garran Primary,primary,Woden Valley,427,486,469,509,526,534,553,551,581,583,595,612,602,593,589,584,580,580,580
Gilmore Primary,primary,Tuggeranong,208,202,199,185,138,123,110,93,99,106,110,116,134,121,119,128,125,127,124
Giralang Primary,primary,Belconnen,125,134,141,133,156,169,220,269,290,289,295,291,301,295,287,276,275,267,253
Gold Creek School*,high,Gungahlin,516,585,571,556,522,478,501,549,561,574,584,575,558,599,615,620,640,646,649
Gold Creek School*,primary,Gungahlin,420,417,394,434,449,437,471,540,589,596,572,568,582,578,584,579,582,579,573
Gordon Primary,primary,Tuggeranong,407,360,357,392,371,383,407,410,411,412,426,432,437,452,437,441,437,432,423
Gowrie Primary,primary,Tuggeranong,178,186,200,191,182,212,223,238,249,270,290,289,300,282,285,275,274,268,260
Gungahlin College,college,Gungahlin,,,308,672,724,898,968,1028,1144,1142,1118,1158,1136,1104,1248,1286,1301,1372,1441
Harrison School*,high,Gungahlin,,,39,127,240,322,400,447,470,521,591,602,636,629,646,601,585,576,571
Harrison School*,primary,Gungahlin,426,552,690,802,877,914,1014,1094,1160,1154,1153,1145,1149,1005,998,976,942,918,896
Hawker College,college,Belconnen,752,764,735,567,503,449,422,436,430,482,520,453,532,608,635,634,645,671,669
Hawker Primary,primary,Belconnen,259,262,289,279,287,281,313,334,343,347,344,345,330,339,338,326,317,315,311
Hughes Primary,primary,Woden Valley,299,293,281,283,301,366,392,422,421,431,417,412,397,458,454,457,452,444,438
Isabella Plains Early Childhood,primary,Tuggeranong,23,61,79,92,97,101,99,105,115,110,109,104,111,116,108,104,102,101,98
Kaleen Primary,primary,Belconnen,436,453,443,472,484,495,500,555,533,510,472,465,471,459,437,428,425,418,413
Kingsford Smith School*,primary,Belconnen,531,512,493,504,480,471,468,483,474,462,458,444,409,354,367,385,372,386,399
Kingsford Smith School*,high,Belconnen,126,244,320,376,372,339,335,317,332,348,413,434,447,459,452,442,431,423,433
Lake Tuggeranong College,college,Tuggeranong,821,785,805,874,848,776,809,783,738,715,670,645,615,579,664,712,715,746,753
Lanyon High,high,Tuggeranong,619,636,561,531,469,426,355,341,333,350,369,372,402,440,473,479,503,493,500
Latham Primary,primary,Belconnen,219,236,242,253,264,268,288,277,270,269,304,330,332,352,369,382,375,367,351
Lyneham High,high,North Canberra,999,1018,1035,1049,1068,1054,1050,1065,1084,1119,1101,1076,1078,1035,1088,1091,1115,1119,1102
Lyneham Primary,primary,North Canberra,397,359,358,363,349,359,400,422,430,455,470,455,469,480,470,467,458,448,449
Lyons Early Childhood,primary,Woden Valley,7,18,53,64,90,105,113,104,90,78,70,68,80,92,88,92,96,97,97
Macgregor Primary,primary,Belconnen,296,319,336,358,379,400,450,494,503,507,518,524,539,522,507,513,515,500,491
Macquarie Primary,primary,Belconnen,245,242,242,273,301,341,331,337,365,353,329,305,303,304,306,299,299,296,300
Majura Primary,primary,North Canberra,373,431,455,509,490,505,511,516,544,591,601,673,718,723,741,760,754,767,777
Margaret Hendry School,primary,Gungahlin,,,,,,,,,,,142,357,473,487,587,683,769,824,859
Maribyrnong Primary,primary,Belconnen,228,217,214,206,212,254,292,292,344,415,470,500,471,468,466,483,488,486,488
Mawson Primary,primary,Woden Valley,166,156,158,150,174,238,290,359,395,413,430,428,442,476,464,475,476,480,485
