date,maximum,week
1939-09-01,12.3,False
1939-09-02,10.6,False
1939-09-03,11.1,False
1939-09-04,12.1,False
1939-09-05,12.5,False
1939-09-06,14.4,False
1939-09-07,17.4,False
1939-09-08,19.1,False
1939-09-09,13.8,False
1939-09-10,12.9,False
1939-09-11,8.6,False
1939-09-12,11.1,False
1939-09-13,15.6,False
1939-09-14,17.2,False
1939-09-15,18.4,False
1939-09-16,20.2,False
1939-09-17,21.6,False
1939-09-18,19.2,False
1939-09-19,18.1,False
1939-09-20,15.6,False
1939-09-21,11.1,False
1939-09-22,14.0,False
1939-09-23,18.7,False
1939-09-24,21.3,False
1939-09-25,20.0,False
1939-09-26,18.4,False
1939-09-27,17.0,False
1939-09-28,12.4,False
1939-09-29,14.0,False
1939-09-30,16.7,False
1940-09-01,17.7,False
1940-09-02,14.9,False
1940-09-03,11.2,False
1940-09-04,13.9,False
1940-09-05,17.8,False
1940-09-06,21.8,False
1940-09-07,23.1,False
1940-09-08,18.7,False
1940-09-09,15.4,False
1940-09-10,16.3,False
1940-09-11,19.8,False
1940-09-12,21.8,False
1940-09-13,12.8,False
1940-09-14,13.3,False
1940-09-15,14.9,False
1940-09-16,16.4,False
1940-09-17,18.2,False
1940-09-18,20.2,False
1940-09-19,19.9,False
1940-09-20,17.4,False
1940-09-21,19.6,False
1940-09-22,10.4,False
1940-09-23,18.2,False
1940-09-24,20.2,False
1940-09-25,22.8,False
1940-09-26,23.7,False
1940-09-27,16.1,False
1940-09-28,14.8,False
1940-09-29,10.2,False
1941-09-01,16.6,False
1941-09-02,17.3,False
1941-09-03,15.1,False
1941-09-04,11.7,False
1941-09-05,11.7,False
1941-09-06,11.6,False
1941-09-07,16.2,False
1941-09-08,22.2,False
1941-09-09,15.8,False
1941-09-10,10.0,False
1941-09-11,10.8,False
1941-09-12,16.3,False
1941-09-13,16.3,False
1941-09-14,17.7,False
1941-09-15,18.0,False
1941-09-16,12.7,False
1941-09-17,16.0,False
1941-09-18,18.0,False
1941-09-19,20.1,False
1941-09-20,22.8,False
1941-09-21,23.9,False
1941-09-22,20.6,False
1941-09-23,13.6,False
1941-09-24,14.9,False
1941-09-25,13.3,False
1941-09-26,16.4,False
1941-09-27,23.2,False
1941-09-28,19.6,False
1941-09-29,13.8,False
1941-09-30,14.1,False
1942-09-01,8.0,False
1942-09-02,11.1,False
1942-09-03,12.8,False
1942-09-04,14.8,False
1942-09-05,16.3,False
1942-09-06,12.5,False
1942-09-07,13.0,False
1942-09-08,16.3,False
1942-09-09,16.7,False
1942-09-10,17.1,False
1942-09-11,16.6,False
1942-09-12,13.4,False
1942-09-13,12.5,False
1942-09-14,15.5,False
1942-09-15,21.0,False
1942-09-16,14.6,False
1942-09-17,11.4,False
1942-09-18,14.7,False
1942-09-19,16.0,False
1942-09-20,17.5,False
1942-09-21,14.9,False
1942-09-22,13.4,False
1942-09-23,9.3,False
1942-09-24,12.3,False
1942-09-25,15.1,False
1942-09-26,17.8,False
1942-09-27,20.7,False
1942-09-28,19.9,False
